imageUrl,category,name,quantity,price
"[{'imageUrl': 'https://assets.shop.loblaws.ca/products/20143381001/b2/en/front/20143381001_front_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/20143381001/b2/en/front/20143381001_front_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/20143381001/b1/en/front/20143381001_front_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/20143381001/b3/en/front/20143381001_front_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/20143381001/b2/en/front/20143381001_front_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/20143381001/b2/en/front/20143381001_front_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/20143381001/b1/en/front/20143381001_front_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/20143381001/b3/en/front/20143381001_front_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/20143381001/b2/en/front/20143381001_front_a06_@2.png'}]",Fruits & Vegetables,Tomatoes,500 gm,150
"[{'imageUrl': 'https://assets.shop.loblaws.ca/products/20179038001/b2/en/front/20179038001_front_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/20179038001/b2/en/front/20179038001_front_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/20179038001/b1/en/front/20179038001_front_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/20179038001/b3/en/front/20179038001_front_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/20179038001/b2/en/front/20179038001_front_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/20179038001/b2/en/front/20179038001_front_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/20179038001/b1/en/front/20179038001_front_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/20179038001/b3/en/front/20179038001_front_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/20179038001/b2/en/front/20179038001_front_a06_@2.png'}]",Fruits & Vegetables,Ginger,200 gm,200
"[{'imageUrl': 'https://assets.shop.loblaws.ca/products/20059635001/b2/en/front/20059635001_front_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/20059635001/b2/en/front/20059635001_front_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/20059635001/b1/en/front/20059635001_front_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/20059635001/b3/en/front/20059635001_front_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/20059635001/b2/en/front/20059635001_front_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/20059635001/b2/en/front/20059635001_front_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/20059635001/b1/en/front/20059635001_front_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/20059635001/b3/en/front/20059635001_front_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/20059635001/b2/en/front/20059635001_front_a06_@2.png'}]",Fruits & Vegetables,Mango,750 gm,250
"[{'imageUrl': 'https://assets.shop.loblaws.ca/products/20135581001/b2/en/front/20135581001_front_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/20135581001/b2/en/front/20135581001_front_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/20135581001/b1/en/front/20135581001_front_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/20135581001/b3/en/front/20135581001_front_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/20135581001/b2/en/front/20135581001_front_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/20135581001/b2/en/front/20135581001_front_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/20135581001/b1/en/front/20135581001_front_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/20135581001/b3/en/front/20135581001_front_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/20135581001/b2/en/front/20135581001_front_a06_@2.png'}]",Dairy Products,Colossal Garlic,200 gm,254
"[{'imageUrl': 'https://assets.shop.loblaws.ca/products/20088387001/b2/en/front/20088387001_front_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/20088387001/b2/en/front/20088387001_front_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/20088387001/b1/en/front/20088387001_front_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/20088387001/b3/en/front/20088387001_front_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/20088387001/b2/en/front/20088387001_front_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/20088387001/b2/en/front/20088387001_front_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/20088387001/b1/en/front/20088387001_front_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/20088387001/b3/en/front/20088387001_front_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/20088387001/b2/en/front/20088387001_front_a06_@2.png'}]",Grocery & Kitchen,Jalapeno Peppers,10 pc,154
"[{'imageUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/front/21547034_front_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/front/21547034_front_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/21547034/b1/en/front/21547034_front_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/21547034/b3/en/front/21547034_front_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/front/21547034_front_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/front/21547034_front_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b1/en/front/21547034_front_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b3/en/front/21547034_front_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/front/21547034_front_a06_@2.png'}, {'imageUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/angle/21547034_angle_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/angle/21547034_angle_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/21547034/b1/en/angle/21547034_angle_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/21547034/b3/en/angle/21547034_angle_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/angle/21547034_angle_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/angle/21547034_angle_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b1/en/angle/21547034_angle_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b3/en/angle/21547034_angle_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/angle/21547034_angle_a06_@2.png'}, {'imageUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/side/21547034_side_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/side/21547034_side_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/21547034/b1/en/side/21547034_side_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/21547034/b3/en/side/21547034_side_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/side/21547034_side_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/side/21547034_side_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b1/en/side/21547034_side_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b3/en/side/21547034_side_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/side/21547034_side_a06_@2.png'}, {'imageUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/back/21547034_back_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/back/21547034_back_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/21547034/b1/en/back/21547034_back_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/21547034/b3/en/back/21547034_back_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/back/21547034_back_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/back/21547034_back_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b1/en/back/21547034_back_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b3/en/back/21547034_back_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/back/21547034_back_a06_@2.png'}, {'imageUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/top/21547034_top_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/top/21547034_top_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/21547034/b1/en/top/21547034_top_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/21547034/b3/en/top/21547034_top_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/top/21547034_top_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/top/21547034_top_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b1/en/top/21547034_top_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b3/en/top/21547034_top_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/top/21547034_top_a06_@2.png'}, {'imageUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/open/21547034_open_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/open/21547034_open_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/21547034/b1/en/open/21547034_open_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/21547034/b3/en/open/21547034_open_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/open/21547034_open_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/open/21547034_open_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b1/en/open/21547034_open_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b3/en/open/21547034_open_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/21547034/b2/en/open/21547034_open_a06_@2.png'}]",Grocery & Kitchen,Ritz Original Crackers,5 pc,120
"[{'imageUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b2/en/front/20111926001_front_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b2/en/front/20111926001_front_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b1/en/front/20111926001_front_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b3/en/front/20111926001_front_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b2/en/front/20111926001_front_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b2/en/front/20111926001_front_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b1/en/front/20111926001_front_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b3/en/front/20111926001_front_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b2/en/front/20111926001_front_a06_@2.png'}, {'imageUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b2/en/angle/20111926001_angle_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b2/en/angle/20111926001_angle_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b1/en/angle/20111926001_angle_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b3/en/angle/20111926001_angle_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b2/en/angle/20111926001_angle_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b2/en/angle/20111926001_angle_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b1/en/angle/20111926001_angle_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b3/en/angle/20111926001_angle_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/20111926001/b2/en/angle/20111926001_angle_a06_@2.png'}]",Fruits & Vegetables,Plantains,5 pc,354
"[{'imageUrl': 'https://assets.shop.loblaws.ca/products/20035618001/b2/en/front/20035618001_front_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/20035618001/b2/en/front/20035618001_front_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/20035618001/b1/en/front/20035618001_front_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/20035618001/b3/en/front/20035618001_front_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/20035618001/b2/en/front/20035618001_front_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/20035618001/b2/en/front/20035618001_front_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/20035618001/b1/en/front/20035618001_front_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/20035618001/b3/en/front/20035618001_front_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/20035618001/b2/en/front/20035618001_front_a06_@2.png'}]",Fruits & Vegetables,Pears,300 gm,120
"[{'imageUrl': 'https://assets.shop.loblaws.ca/products/20811362001/b2/en/front/20811362001_front_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/20811362001/b2/en/front/20811362001_front_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/20811362001/b1/en/front/20811362001_front_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/20811362001/b3/en/front/20811362001_front_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/20811362001/b2/en/front/20811362001_front_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/20811362001/b2/en/front/20811362001_front_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/20811362001/b1/en/front/20811362001_front_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/20811362001/b3/en/front/20811362001_front_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/20811362001/b2/en/front/20811362001_front_a06_@2.png'}]",Fruits & Vegetables,Red Onions,500 gm,145
"[{'imageUrl': 'https://assets.shop.loblaws.ca/products/21440622/b2/en/front/21440622_front_a06_@2.png', 'thumbnailUrl': 'https://assets.shop.loblaws.ca/products/21440622/b2/en/front/21440622_front_a06_@2.png', 'smallUrl': 'https://assets.shop.loblaws.ca/products/21440622/b1/en/front/21440622_front_a01_@2.png', 'mediumUrl': 'https://assets.shop.loblaws.ca/products/21440622/b3/en/front/21440622_front_a06_@2.png', 'largeUrl': 'https://assets.shop.loblaws.ca/products/21440622/b2/en/front/21440622_front_a06_@2.png', 'extraLargeUrl': 'https://assets.shop.loblaws.ca/products/21440622/b2/en/front/21440622_front_a06_@2.png', 'smallRetinaUrl': 'https://assets.shop.loblaws.ca/products/21440622/b1/en/front/21440622_front_a01_@2.png', 'mediumRetinaUrl': 'https://assets.shop.loblaws.ca/products/21440622/b3/en/front/21440622_front_a06_@2.png', 'largeRetinaUrl': 'https://assets.shop.loblaws.ca/products/21440622/b2/en/front/21440622_front_a06_@2.png'}]",Grocery & Kitchen,Sourdough Loaf,250 gm,875
